current_action,predicted_action,mistral_7b_model_reply,mistral_7b_model_score,phi_3_mini_model_reply,phi_3_mini_model_score,llama_3.2_model_reply,llama_3.2_model_score
put-down carrot,cut carrot,"Based on the chef's current action of putting down the carrot, the next best action for me would be to fetch the sharp knife for cutting.",,Fetch a cutting board and knife.,,I will wash the carrot.,
open kettle,fill-up kettle,"Based on the current action, I will fetch water to fill the kettle.",,Fetch water to fill-up the kettle.,,I will wash the kettle.,
put-down onionspring,put-in bandrubber,"Based on the chef's current action and the next expected action, I will prepare the onions by washing them.",,Fetch the onions.,,I'll wash the onionspring.,
close sauceblackbean,put sauceblackbean,"Based on the chef's current action of ""close sauceblackbean,"" I would fetch the next ingredient or tool needed for the recipe.",,Fetch the black bean sauce.,,I will wash the black beans.,
adjust aubergine,flip aubergine,"Based on the chef's current action of adjusting an aubergine, I would stabilize it next.",,Fetch the cutting board and knife.,,I will wash the aubergine.,
put-down controlremote,put-down cloth,"Based on the chef's current action of putting down the control remote, I will fetch the cloth next.",,Fetch the put-down cloth for the chef.,,I'm going to wash the cloth.,
squeeze rag,put-down rag,"Based on the current action of squeezing a rag, the next best action for me would be to fetch a new one.",,Fetch a fresh rag for the chef.,,I will wash the rag.,
pick-up stickcocktail,put-down dough,"Based on the chef's current action of picking up a stick cocktail, I would fetch the necessary glasses to prepare the drink.",,Fetch the stickcocktail for the chef.,,"### action: put-down dough

### next action: wash",
pick-up spoonwooden,pick-up glass,"Based on the chef's next action being ""pick-up glass,"" I would fetch a clean glass for the chef.",,Fetch the spoon for the chef.,,I'm washing the wooden spoon.,
knead hand,shape balldough,"Based on the chef's current action of kneading dough, I will fetch the bowl of water to help with the dough-making process.",,Fetch the balldough.,,I'll wash the dough.,
stir ingredient,scoop yoghurt,"Based on the chef's current action of stirring an ingredient, I would mix the next ingredient to be added.",,Fetch the scoop yogurt.,,I'll wash the bowl.,
open packagingbiscuit,get-from biscuit,"Based on the chef's current action, I will fetch the next ingredient or tool.",,Fetch the biscuit.,,I will wash the biscuit.,
search-for peeler,pick-up peeler,Fetch the peeler for your chef. (bring peeler),,Fetch the peeler.,,fetch peeler,
pour-in water,scrub tupperware,"Based on the current action of pouring water, the best help I can provide next is to fetch more water.",,Fetch water for chef's next action.,,I'll wash the tupperware.,
wash-under hand,dry hand,"Based on the chef's current action, I will prepare to dry their hands next.",,Fetch clean water for chef to wash hands.,,I'll dry the chef's hand.,
close drawerdishwasher,put-in cutlery,"Based on the chef's current action, I will prepare for the next action by fetching the cutlery.",,Fetch cutlery for chef.,,I'll put the cutlery in the dishwasher.,
slice meat,inspect meat,"Based on the current action, I will fetch the necessary cutting tools next.",,Fetch the meat for slicing.,,Inspect meat.,
move glass,move tablecloth,"Based on the chef's current action of moving a glass, I would fetch the next glass to help maintain workflow.",,Fetch the ingredients needed for the chef's next action.,,I'll wash the glass.,
place boardcutting,open refrigerator,"Based on the chef's current action of board cutting, the best help would be to fetch the needed ingredients or tools.",,Fetch the cutting board.,,I'll wash the boardcutting.,
remove-from food,shake-off sieve,"Based on the chef's current action and the potential next action, I would fetch the sieve.",,Fetch the shake-off sieve.,,I'll wash the sieve.,
put capsink,end_of_video,"Based on the chef's current action of putting a can in the sink, I would suggest the following:

1. Fetch the can opener.
2. Bring the can opener to the chef.
3. Stabilize the can on the counter.
4. Open the can using the can opener.
5. Pour the contents",,Fetch clean water for chef.,,I will wash the capsink.,
take gloveoven,drain-from water,"Based on the chef's current action of taking the glove oven, I would fetch the needed ingredients for the next recipe.",,Fetch the gloves for the chef.,,I'll drain the water from the gloveoven.,
take cheese,open bagcheese,"Based on the chef's current action of taking cheese, I would fetch the next ingredient.",,Fetch open bag of cheese.,,open bag cheese.,
scoop-from powderbiscuit,remove bladefoodprocessorchopping,"Based on the chef's current action, I will fetch the blade for the food processor.",,Fetch the blade food processor.,,I'll wash the powderbiscuit.,
pick-up boardcutting,lather boardcutting,"If chef is lathering board-cutting next, I'll fetch a clean board.",,Fetch the cutting board for the chef.,,I'll wash the boardcutting tools.,
pour-onto liquidwashing,separate cubebutter,"Based on current action and next action, I will fetch the separate cubed butter.",,Fetch separate cubebutter.,,I'll separate the cubebutter.,
put-down traybaking,pick-up pizza,"Based on current action, I'll fetch the pizza tray next.",,Fetch the traybaking supplies.,,I'll wash the traybaking.,
take squash,get cubestock,"Based on the chef's current action of taking a squash, the best assistance would be to:

Prepare it for use by washing and cutting.",,Fetch the squash.,,Get cubestock.,
open locker,put-down peach,"Based on the chef's current action of opening a locker, the best help would be to fetch the required ingredient or tool.",,Fetch the put-down peach.,,I'll wash the peach.,
pick-up mug,lick finger,"Based on the chef's current action of picking up a mug, I would fetch a clean towel to dry the mug next.",,Fetch the ingredients for the chef.,,I will wash the mug.,
put-down colander,pick-up mixer,"Based on the chef's current action of putting down the colander, the best help would be to fetch the next kitchen tool or ingredient.",,Fetch the mixer.,,I'll wash the colander.,
stir onion,throw bag,"Based on the chef's current action of stirring onions, the best help would be to:

1. Fetch the next ingredient: oil or water.",,Fetch the onion for the chef.,,I'll wash the pot.,
put-down glass,put soap,"If put-down glass is the current action and put soap is next, I would fetch the soap.",,Fetch the soap.,,I'll wash the glass.,
pick-up glass,pour-into sugar,"Based on the chef's current action of picking up a glass, I would fetch the sugar container next.",,Fetch the sugar.,,fetch sugar.,
wash hand,take butter,Dry chef's hands before fetching the butter.,,Fetch butter for the chef.,,fetch butter,
scoop food,put liquiddishwashing,"If the chef is scooping food and the next action is to put liquid in a dishwashing, I would fetch dishes to be washed.",,Fetch ingredients for the next step.,,I'll put the liquiddishwashing in the sink.,
press dough,pick-up openercan,"Based on current observation, I will mix the dough next.",,Fetch the rolling pin to assist with dough pressing.,,I'll wash the openercan.,
put-down card,put-down bag,"Based on the chef's current action of putting down a card, the next best action for me would be to fetch the desired bag.",,Fetch the ingredients for the chef.,,I'll wash the put-down card.,
close dishwasher,pull dough,"Based on the chef's current action of closing the dishwasher, I will fetch the clean dishes next.",,Fetch ingredients for dough preparation.,,fetch dough,
put-down spoonwooden,end_of_video,"Based on the chef's current action of putting down a wooden spoon, I would fetch the next ingredient or tool for the recipe.",,Fetch a clean spoon for the chef.,,I will wash the spoonwooden.,
pour-from milk,put-down glass,"Based on the current action of pouring from milk, I would fetch the next ingredient for my chef to use.",,Fetch the glass for the chef.,,I will wash the glass.,
put-down knifemincing,move knifemincing,"Based on current observation, I will fetch the next ingredient for my chef.",,Fetch a sharpening stone for the chef.,,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring",
put-in piecetofu,adjust temperatureoven,"Based on the current action, I would fetch a spatula next.",,Fetch the pie crust.,,I'll wash the piecofu.,
take-from teabag,put-on lidcoffeetin,"Based on the current action, I would fetch a clean lid for the coffee tin.",,Fetch the teabag for the chef.,,I'll wash the teabag.,
sponge cover,rinse cover,"Based on the current action of sponge covering, the next best action for me would be to fetch a rinse basin.",,Fetch rinse cover for chef.,,I'll wash the sponge cover.,
clean table,spray detergent,"Based on the current action of cleaning the table, I will fetch the spray detergent for the next action.",,Fetch the spray detergent.,,fetch detergent,
pick-up boardchopping,pick-up cheese,"Based on the chef's current action of board chopping, the best help would be to fetch the next ingredient.",,Fetch the cheese for the chef.,,I'll wash the boardchopping knife.,
put saucesoya,mix-with saucesoya,"If mix-with is not received, I will fetch the required ingredients for the next dish.",,Mix with saucesoya.,,I will wash the saucesoya.,
put-on lemon,cut-into lemon,"Based on the current action of putting on a lemon and the next action being cut-into lemon, I would suggest slicing the lemon. This will prepare the lemon for the cutting process, making it easier for the chef.",,Fetch the lemon.,,I will wash the lemon.,
remove skingarlic,put-into rest,"Based on the chef's current action of removing garlic skin, the best help would be to:

1. Prepare a bowl for the peeled garlic.
2. Or, fetch a garlic press if needed.",,Fetch additional ingredients for the chef.,,I will wash the skingarlic.,
shake tupperware,pick-up glass,"Based on the chef's current action of shaking a Tupperware, the best help would be to fetch the next ingredient or tool.",,Fetch the ingredients for the chef's next action.,,I'll wash the glass.,
wipe-from water,pick-up toweltea,"Based on the chef's current action, I will fetch a clean towel to help dry the wiped surface.",,Fetch a towel for the chef.,,I'll wash the towel.,
pick-up food,pick-up cutlery,"Based on the chef's current action of picking up food, the best assistance would be to:

1. Fetch the required cutlery or tool.

Therefore, my action would be: Bring the necessary cutlery or tool.",,Fetch the food for the chef.,,fetch cutlery,
pour-on oilolive,put oilolive,"Based on the chef's current action of pouring olive oil, I would fetch the next ingredient.",,"Fetch additional ingredients for the recipe.

This action is chosen because, after pouring olive oil, the chef likely needs more ingredients to continue cooking. Fetching additional ingredients ensures that the chef has everything they need to proceed with the recipe efficiently.",,I will wash the oilolive.,
open box,take bookletinstruction,"Based on the current action of my chef being ""open box,"" I would fetch the necessary ingredients or tools.",,Fetch the ingredients needed for the recipe.,,"### action: take bookletinstruction
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
take olive,open olive,"Based on the chef's current action of taking an olive, I would fetch more olives.",,Fetch the olive for the chef.,,I will wash the olive.,
take cloth,unfold cloth,"Based on the current action of taking a cloth, I would fetch the unfolded cloth for the chef.",,Fetch the cloth for the chef.,,I will unfold the cloth.,
put-down thermometer,pick-up teaspoon,"Based on the chef's previous action of putting down the thermometer, the next best action for me would be to fetch the teaspoon.",,Fetch the teaspoon.,,I'll wash the thermometer.,
clean potatobaby,place potato,"Based on the current action, I would help by washing the potatoes.",,Fetch potato.,,Place potato.,
open flour,mix ingredient,"Based on the chef's current action of opening flour, the best next action for me would be to fetch the mixing bowl.",,Fetch flour for the chef.,,I will wash the flour.,
pick-up pestle,grind spice,"Based on the chef's current action of picking up the pestle, I would fetch the mortar next.",,Fetch the spices for grinding.,,fetch pestle,
move papergreaseproof,cut papergreaseproof,"If the chef is moving the greaseproof paper for cutting, I will fetch the necessary utensils.",,Fetch the papergreaseproof.,,I will wash the papergreaseproof.,
dry support,open ovenmicrowave,Prepare ovenmicrowave by fetching necessary ingredients and stabilizing it.,,Fetch the oven mitts.,,"### action: wash
### action list: clean, wash, dry, clean, wash, clean, wash, clean, clean, clean",
feel temperaturemilk,drag-around spatula,"Based on the current action of feeling the temperature of the milk, the next best action for me would be to fetch the saucepan.",,Fetch the thermometer to check milk temperature.,,I'll wash the spatula.,
shake-into curdcheese,tap-on spatula,"Based on the chef's current action and the next action given, I would fetch the spatula.",,Fetch the curd.,,I'll wash the spatula.,
pick-up skinonion,throw garbage,"Based on the chef's current action of picking up a skin onion, the best help would be to fetch a small bowl for peeling.",,Fetch the onion for the chef.,,"### action: wash

### next action: bring",
put-down ladle,pick-up spatula,"Based on the chef's next action being ""pick-up spatula,"" I would fetch it for them.",,Fetch the spatula.,,I'm washing the ladle.,
cut-into fish,put-onto heaterright,"Based on the chef's current action, I will prepare the next ingredient by fetching it.",,Fetch the fish from the cutting board.,,I'll put the fish onto the heaterright.,
press dough,pick-up brushpastry,"Based on the current action, I will fetch the brush pastry.",,Fetch pastry brush.,,I'll wash the brushpastry.,
move packet,pick-up tuna,"Based on the chef's current action of moving a packet, I would fetch the next required ingredient.",,Fetch the tuna.,,fetch tuna,
pick-up tintomato,put-on cheese,"Based on the chef's current action of picking up a tomato, I would suggest the following:

Prepare for cheese by washing and drying the tomato.",,Fetch the tintomato.,,"### action: put-on cheese
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
pour-in water,clean-with processor,"Based on the current action of pouring water and the next action being ""clean-with processor,"" I would suggest the following action:

Prepare processor for use.

This involves ensuring the processor is clean and ready for the next task. This could include rinsing it, drying it, or loading it with necessary ingredients.",,Fetch additional ingredients for the chef.,,I'll wash the processor.,
wash bowlsalad,wash piececutlery,"Based on the current action, I will dry the bowlsalad next.",,Fetch clean utensils for the chef.,,wash the cutlery.,
pick-up piecepepper,rinse piecepepper,"Based on the chef's current action of picking up pepper, the best assistance would be to fetch a pepper mill or a small bowl for the pepper. (Fetch pepper mill or bowl)",,Fetch the piece of pepper.,,I'll wash the pepper.,
put-away matsushi,pick-up tupperware,"Based on current observation, I will fetch the required tupperware for the next action.",,Fetch the Tupperware.,,I'll wash the tupperware.,
put-down glass,pick-up silverware,"Based on the chef's current action of put-down glass, I would fetch the requested silverware next.",,Fetch the silverware.,,I'll wash the glass.,
move teaspoon,pick-up saucer,"Based on the current action of moving a teaspoon, the best help I can provide next is to fetch a saucer.",,Fetch the saucer for the chef.,,fetch saucer.,
sprinkle water,pick-up strainer,"Based on the current action of sprinkling water, the best help I can provide next is to fetch the strainer.",,Fetch the strainer to assist the chef.,,I'll wash the strainer.,
wash onion,cut potato,"Based on the current action of washing an onion, the next best action for me would be to fetch a cutting board and a sharp knife to assist with cutting the potato.",,Fetch the cutting board for the chef.,,fetch onion,
wipe surface,rinse tubhummus,"Based on the chef's current action of wiping the surface, the best help would be to fetch the rinse water for the tub of hummus.",,Fetch rinse tubuh.,,I'll wash the tub to prevent any food residue.,
shake-off hand,put-on gloveoven,"Based on the chef's current action and the potential next action, I would fetch the glove.",,Fetch the gloves for the chef.,,I'll put on the glove oven.,
pick-up jugmeasuring,move saucepan,"Based on the chef's next action being ""move saucepan,"" I would fetch it for the chef.",,Fetch the saucepan to assist the chef.,,fetch saucepan,
shake slicer,put-on slicer,"Based on the chef's current action of shaking the slicer, the best help I can provide next is to:

1. Stabilize the slicer.

By stabilizing the slicer, I ensure that the chef has a firm and steady surface to continue their slicing task effectively.",,Fetch the slicer for the chef.,,I will wash the slicer.,
put lettuce,remove endtomato,Prepare tomatoes for chef's next action: fetch and stabilize.,,Fetch tomato to assist with the next action.,,I'll wash the lettuce.,
clean topcounter,pick-up cloth,"Based on current observation, I will fetch a clean cloth for my chef.",,Fetch the cloth for the chef.,,I will wash the cloth.,
hold press,pick-up apron,"Based on current observation, I will fetch the apron for my chef.",,Fetch the chef's apron.,,I'll wash the apron.,
fill glass,pick-up glass,"Based on the current action, I would fetch the next ingredient for my chef.",,Fetch the ingredients for the next step.,,I will wash the glass.,
pick-up glass,put-in glass,"Based on the chef's current action of picking up a glass, the best assistance would be to:

Wash the glass promptly.",,Fetch the glass for the chef.,,I'm washing the glass.,
scoop-out creammilk,wipe-on teaspoon,"Based on the chef's next action of using a teaspoon, I will fetch it for them.",,Fetch the teaspoon to assist the chef.,,I'll wash the spoon.,
lick finger,open oven,I'd fetch a wet wipe to clean the chef's hand before opening the oven.,,Fetch clean utensils to assist chef.,,"### action: wash
### action list: clean, dry, cut, slice, mix, pour, fetch, bring",
pour-in onion,take spatulawooden,"Based on the chef's current action of pouring in onions, the best assistance would be to:

Prepare the next ingredient (fetch).",,Fetch the onion for the chef.,,I'll wash the spatula.,
open bag,pour-in milk,"Based on the current action, I will fetch the milk.",,Fetch the milk to assist the chef.,,I'll wash the bag.,
turn-on kettle,take stock,"Based on the chef's current action, I will fetch the required ingredients next.",,Fetch water for the kettle.,,fetch ingredients.,
put-down lidricecooker,pick-up lidricecooker,"Based on the chef's previous action, I will fetch the required ingredients next.",,Fetch lidricecooker.,,I'm washing the lidricecooker.,
put-down cucumber,pick-up cucumber,"Based on the chef's current action of putting down the cucumber, the best help would be to prepare it for use by washing it. Therefore, I would suggest the action: ""Wash the cucumber.""",,Fetch the cucumber.,,fetch cucumber,
take-out slicebread,put-in bread,"Based on the chef's current action, I would fetch the butter to prepare for spreading on the sliced bread.",,Fetch the put-in bread.,,I'll wash the bread.,
move tomato,pick-up tomato,"Based on the chef's current action of moving the tomato, the best help would be to fetch a nearby bowl for the tomato.",,Fetch the tomato.,,fetch tomato,
stir coffee,pick-up mug,"Based on the current action, I will fetch the mug next.",,Fetch the mug to assist the chef.,,I'll wash the mug.,
chop onion,search onion,"Based on the current action, I will prepare the next ingredient by fetching it.",,Fetch the onion.,,I'm washing the onion.,
shake bag,squidge bag,"Based on the current action of shaking a bag, the next best action for me would be to fetch the next ingredient.",,Fetch the squidge bag.,,I will wash the bag.,
pick-up teaspoon,take saucepesto,"Based on the chef's current action of picking up a teaspoon, I would fetch the desired sauce or ingredient for the next step.",,Fetch the saucepan.,,fetch saucepesto,
put-down cutlery,pick-up capburner,"Based on the chef's current action of put-down cutlery, I will fetch the next required tool or ingredient.",,Fetch the capfuler for the chef.,,I'll wash the cutlery.,
put-down flour,brush-into flour,"Based on the chef's current action of putting down flour, the best assistance would be to:

1. Fetch a clean mixing bowl.",,Fetch additional ingredients for the recipe.,,I will wash the flour.,
wipe surface,shake cloth,"Based on the chef's current action and the next action of shaking the cloth, I would suggest: ""Fetch a clean cloth.""",,Fetch the shake cloth for the chef.,,I'll wash the cloth.,
hit glass,grab package,"Based on the chef's current action of hitting a glass, I would suggest stabilizing the glass to prevent any potential damage or accidents.",,Fetch the necessary tools.,,I'll wash the glass.,
wash onionspring,remove skinouter,"Based on the chef's current action and the next action to be performed, I will dry the onions.",,Fetch the onions.,,I'll remove the skin outer.,
scoop powderwashing,put-in powderwashing,"Based on the chef's current action of scooping powderwashing, I would fetch the next ingredient.",,Fetch cleaning supplies for chef.,,put-in powderwashing.,
rinse lidpot,adjust temperature,"Based on the current action, I would fetch the required temperature adjustment tool next.",,Fetch the ingredients needed for the next step.,,I'll wash the pot.,
plug-in machinesousvide,put-in machinesousvide,Fetch water for sous vide machine. (Assuming the chef will put in the food next.),,Fetch ingredients for the chef's next action.,,I will wash the machinesousvide.,
rinse cutlery,put-down cutlery,"Based on the current action, I would dry the cutlery next.",,Fetch clean water for chef to rinse cutlery.,,I will put-down cutlery.,
cut onion,wash hand,"Based on the current action of cutting an onion, the best help I can provide next is to fetch a fresh onion or a sharp knife.",,Wash hands to maintain hygiene.,,I will wash my hands.,
put-away lemon,pick-up teaspoon,"Based on the current action of putting away a lemon, the best next action for me would be to fetch the next ingredient.",,Fetch the teaspoon.,,fetch lemon,
cut pizza,rotate pizza,"If chef requests rotation, I'll stabilize pizza.",,Fetch a pizza cutter to assist the chef.,,"### action: rotate pizza
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
take carrot,wash carrot,"If chef is washing carrot next, then I will dry it.",,Fetch clean water to wash the carrot.,,I'll wash the carrot.,
take seedmustard,close cap,"Based on the chef's current action of taking seed mustard, I would fetch the required container for storage.",,Fetch the seed mustard.,,I will wash the seedmustard.,
put-on bottlegin,stir drink,"Based on the current action, I will fetch the stirring spoon next.",,Fetch the bottle gin.,,I'll wash the bottle.,
put-into olive,cut olive,"If the chef's next action is ""cut olive,"" I would fetch a cutting board and bring a sharp knife.",,Fetch a cutting board and knife.,,I will wash the olive.,
pour-on waterhot,open heat,"Based on the current action, I will fetch a clean bowl for my chef to mix in.",,Fetch cool water to assist chef.,,"### action: pour water
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
put-in bagtea,take rag,"Based on the current action, I will fetch the rag next.",,Fetch the bag of tea.,,I'll wash the bag of tea.,
put-down hooverhandheld,pick-up meat,"Based on the chef's current action of putting down the handheld hoover, I would fetch the next ingredient or tool for the upcoming action, which is ""pick-up meat.""",,Fetch the meat to assist the chef.,,I'm washing the meat.,
crush-into bag,open bucket,"Based on the chef's current action and the next action of opening a bucket, I would fetch the bucket to assist the chef.",,Fetch the ingredients for the next step.,,"### action: wash
### action list: clean, wash, dry, cut, slice, mix, pour, fetch, bring",
pour liquiddishwashing,wash boardchopping,"If the chef's next action is wash board and chopping, I will fetch the chopping board.",,Fetch clean cutting board for chef.,,fetch dishwasher.,
shake hand,take oilolive,"Based on the current action of my chef being a handshake, I would fetch the requested oil or olive.",,Fetch the olive oil.,,"### action: wash

### next action: bring",
put-in paperbaking,pick-up scissors,"Based on the current action of paper baking, the best help I can provide next is to fetch the scissors.",,Fetch scissors to assist with paperbaking.,,I'll wash the paperbaking.,
take-from cheese,put-down packet,"Based on the chef's current action of taking from the cheese, the best assistance would be to fetch the necessary tool for the next task. Therefore, I would bring the cheese grater or knife, depending on the desired outcome.",,Fetch the cheese.,,I will put the packet down.,
pour-into salt,tip-into salt,"Based on the current action, I will fetch the tip to be used next.",,"Fetch additional ingredients for the recipe.

This action is chosen because if the chef is currently pouring salt, it's likely they are preparing a dish and may need more ingredients. Fetching additional ingredients would be the next logical step to ensure the chef has everything they need to complete the recipe efficiently.",,fetch,
spoon sugar,put-down sugar,"Based on the current action of spooning sugar, the best help I can provide next is to fetch the container of flour or other dry ingredient.",,Fetch additional ingredients.,,"### action: put-down sugar

### next action: wash",
pour detergent,stir pasta,"Based on the current action of pouring detergent, the best help for the next action would be to:

1. Fetch the pasta pot if not already in reach.",,Fetch clean water for chef.,,"### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring

### response
wash the pasta.",
put-on sauce,pick-up plastic,"Based on the current action of putting on sauce, I would fetch the necessary ingredients or tools for the next step.",,Fetch the plastic.,,I'll wash the plastic.,
put-down leafpakchoi,cut choipak,"Based on the current action, I will prepare the leafy bok choy by washing it next.",,Fetch the leafpakchoi.,,I'll wash the leafpakchoi.,
stir spice,put-in onion,"Based on the chef's current action of stirring spice, I would fetch the next ingredient, which is likely an onion.",,Fetch the onion for the chef.,,I'll put the onion in the pot.,
take colander,put colander,"Based on the chef's current action of taking a colander, I would fetch a sink or water source to help with washing.",,Fetch the ingredients for the chef.,,I will wash the colander.,
rinse potcoffee,rinse hand,"Based on the current action, I would fetch a clean dripping dish rack for my chef to place the rinsed pot.",,Fetch fresh water for rinsing the pot coffee.,,I'll wash the pot.,
put-down salad,pick-up salad,"Based on the current action, I would stabilize the salad. This ensures the salad remains intact for the next action, such as pick-up or serve.",,Fetch the salad.,,fetch salad,
put-on water,take salad,"Based on the current action, I would fetch the salad bowl next.",,Fetch fresh ingredients for the salad.,,I'll wash the salad.,
put-down panfrying,chop onion,"Based on the current action of panfrying and the next action of chopping onion, I would fetch the onion.",,Fetch the chopping board and knife.,,I'll chop the onion.,
put-down mug,stir mixture,"Based on the chef's current action of putting down a mug, I would fetch the stirring spoon next.",,Fetch the stirring utensil.,,I'll wash the mug.,
wear apron,throw-away skin,"Based on the current action, I will fetch the throw-away skin next.",,"Fetch apron if missing, otherwise continue cooking.",,I'll wash the apron.,
put-into mayonnaise,squeeze mayonnaise,"If chef is putting mayonnaise, I'll fetch the next ingredient.",,Fetch additional ingredients for the mayonnaise.,,I'll wash the mayonnaise.,
pull-out aeropress,turn-off switch,"Based on the current action of the chef, I would fetch the aeropress filter and stirrer.",,Fetch the coffee grounds.,,"### action: turn-off switch
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
rinse hand,wash boarddraining,"Based on the chef's current action of rinsing hands, I will fetch a clean towel to dry them.",,Fetch clean utensils for chef.,,fetch water.,
pick-up spoonwooden,move butter,"Based on the chef's next action being ""move butter,"" I would fetch the butter.",,Fetch the butter.,,I'll wash the spoonwooden.,
drain mushroom,open mushroom,"Based on the current action, I would fetch open mushrooms next.",,Fetch open mushrooms.,,I will wash the mushroom.,
tip potato,pick-up bag,"Based on the chef's current action of tipping a potato, the best help I can provide next is to fetch a bag.",,Fetch the potato.,,I'll wash the potato.,
stir coffee,pick-up matplace,"Based on the current action of stirring coffee, I would fetch the milk or cream to be added next.",,Fetch the coffee cup.,,I'll wash the coffee maker.,
throw food,pick-up glass,"Based on the chef's current action of throwing food, the best help would be to fetch additional ingredients or tools.",,Fetch the utensils to assist the chef.,,I'll wash the glass.,
put-down choipak,pick-up choipak,"Based on the chef's current action of putting down the chipak, the best help I can provide next is to fetch the next ingredient or tool.",,Fetch choipak.,,I will wash the chippak.,
pick-up clip,put-on clip,"Based on the chef's current action of picking up a clip, I would fetch the necessary tool or ingredient for the next task.",,Fetch the ingredients for the chef.,,I'll put on the clip.,
put-down saucepan,pick-up mug,"Based on the chef's current action and the next action given, I would fetch the mug.",,Fetch the saucepan.,,I'll wash the saucepan.,
put-on lidolive,put-on pizza,"Based on the chef's current action, I will fetch the pizza dough or toppings.",,Fetch ingredients for the next step.,,I'll wash the pizza.,
stir leafbay,pick-up boardchopping,"Based on current action, I'll mix next.",,Fetch the board for chopping.,,I'll wash the boardchopping knife.,
put-down glass,pick-up powder,"Based on the chef's current action of put-down glass, I will fetch the next required item.",,Fetch the powder for the chef.,,I'll wash the glass.,
open binbread,take-from bread,"Based on the chef's current action, I would fetch the necessary tools for bread making.",,Fetch the bread from the bin.,,fetch binbread.,
push-into carrot,grab carrot,"Based on the chef's current action, I will fetch the next ingredient.",,Fetch the carrot.,,I will wash the carrot.,
move boardcutting,rinse hand,"Based on the chef's current action of move boardcutting, I would fetch a sharp knife to assist next.",,Fetch clean cutting board for chef.,,I'll wash hands.,
put-in water,put-on cover,"Based on the chef's current action of putting in water, I would fetch the necessary utensils or ingredients for the next step.",,Fetch the ingredients needed for the next step.,,I'll wash the pot.,
take meatminced,take parsley,"Based on the chef's current action of taking minced meat, I would fetch the necessary herbs or spices for the next recipe step.",,Fetch the meat for mincing.,,I'll wash the parsley.,
move boardchopping,chop-off pepper,"Based on the chef's current action and next action, I will fetch the pepper.",,Fetch the pepper for chopping.,,fetch knife,
take-out slicebread,cut garlic,"Based on the current action and the next expected action, I will fetch the garlic.",,Fetch garlic for the chef.,,I'll wash the bread.,
peel onion,take squash,"Based on the chef's current action of peeling an onion, the best help would be to:

1. Fetch a clean cutting board and sharp knife.",,Fetch the squash.,,I'll wash the squash.,
put-outside bag,get bag,"Based on the chef's current action of putting something outside in a bag, the best assistance would be to fetch the next required ingredient or tool.",,Fetch the bag to assist the chef.,,I'll wash the bag.,
pick-up dough,put-down dough,"Based on the chef's current action of picking up dough, the best assistance would be to:

Prepare water for mixing or fetch additional ingredients.",,"Fetch additional ingredients for the chef.

This action is chosen because, after picking up the dough, the chef would likely need more ingredients to proceed with the recipe. Fetching these ingredients would be the next logical step to ensure the chef has everything needed to continue cooking efficiently.",,"### action: put-down dough

### next action: wash",
move holdercoffee,remove podcoffee,"Based on current observation, I will fetch a clean mug for the next coffee making step.",,Fetch podcoffee.,,I will wash the coffee maker holder.,
take traypizza,put-in bacon,"Based on the chef's current action of taking a tray with pizza, I would fetch the bacon.",,Fetch put-in bacon.,,put-in bacon,
pick-up flour,sprinkle-over toweltea,"Based on the chef's current action of picking up flour, the best assistance would be to:

Fetch the measuring cup.",,"Fetch the measuring cup.

Explanation: By fetching the measuring cup, the chef can accurately measure the flour needed for the recipe, which is a logical next step after picking up the flour. This action directly assists in the preparation process without assuming the chef's intentions, which might not be accurate.",,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
pick-up basket,place basket,"Based on the chef's current action of pick-up basket, I would fetch the next ingredient or tool.",,Fetch the ingredients for the chef.,,Place basket.,
put-in ladle,put liquiddishwashing,"If put-in-ladle is completed, and put-liquid-dishwashing is next, I will fetch the dishes.",,Fetch a clean ladle for the chef.,,fetch the dishwasher.,
wash rice,pour water,"I will fetch water for the next action, which is pouring it over the rice.",,"Fetch additional rice for cooking.

(Note: The response is based on the assumption that the chef needs more rice to proceed with the cooking process after washing it. The action ""fetch"" is chosen as it implies obtaining more rice, which is a logical next step in the context of preparing rice for cooking.)",,Pour water.,
put-down spatula,move-into skinorange,"Based on the chef's current action of put-down spatula, I would fetch the next ingredient or tool.",,Fetch the spatula for the chef.,,I'll wash the spatula.,
put-in rubbish,take rubbish,"I'll fetch a new bin or clean the current one, ready for the next task.",,Fetch rubbish to assist chef.,,fetch the rubbish.,
squeeze-into honey,put-in honey,Fetch a clean spoon for your chef to use with the honey.,,Fetch honey for chef.,,I will wash the honey.,
rinse hand,take cloth,"Based on the chef's current action of rinsing hands, the best help would be to fetch a clean towel.",,Fetch the cloth to assist the chef.,,I'll wash the cloth.,
